,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
200,INFY,EQ,2018-03-01,1172.6,1169.6,1169.6,1156.05,1160.25,1160.75,1161.83,3289926,3822336358.0,95568,2089661,63.52,3,2018,-1.0105747910625906,Negative
201,INFY,EQ,2018-03-05,1160.75,1160.75,1170.8,1143.25,1159.7,1155.9,1158.68,4050728,4693511961.0,150137,2407810,59.44,3,2018,-0.41783329743699804,Slight or No Change
202,INFY,EQ,2018-03-06,1155.9,1162.55,1165.4,1143.6,1146.25,1151.35,1157.61,3344867,3872054670.0,123734,2349339,70.24,3,2018,-0.3936326671857615,Slight or No Change
203,INFY,EQ,2018-03-07,1151.35,1155.0,1160.0,1138.05,1147.8,1144.1,1148.31,3185208,3657594848.0,91049,2099037,65.9,3,2018,-0.6296955747600697,Slight Negative
204,INFY,EQ,2018-03-08,1144.1,1149.0,1165.8,1149.0,1158.0,1156.65,1158.61,3046507,3529721779.0,110975,1784229,58.57,3,2018,1.096932086356106,Positive
205,INFY,EQ,2018-03-09,1156.65,1162.35,1166.0,1155.55,1164.0,1163.4,1162.36,2110482,2453138902.0,83674,1167092,55.3,3,2018,0.5835818959927463,Slight Positive
206,INFY,EQ,2018-03-12,1163.4,1176.0,1191.85,1171.75,1184.0,1185.75,1186.26,3838485,4553456409.0,82530,2208283,57.53,3,2018,1.9210933470861224,Positive
207,INFY,EQ,2018-03-13,1185.75,1180.2,1197.0,1175.15,1182.0,1183.8,1187.19,4290526,5093652781.0,101093,2931653,68.33,3,2018,-0.16445287792536956,Slight or No Change
208,INFY,EQ,2018-03-14,1183.8,1180.0,1190.6,1169.1,1181.1,1180.8,1180.26,2214855,2614111790.0,54069,1203746,54.35,3,2018,-0.25342118601114905,Slight or No Change
209,INFY,EQ,2018-03-15,1180.8,1180.0,1188.4,1172.0,1181.9,1182.5,1180.88,3050750,3602569982.0,49232,2081521,68.23,3,2018,0.1439701897018919,Slight or No Change
210,INFY,EQ,2018-03-16,1182.5,1182.0,1182.4,1169.25,1170.0,1171.9,1172.96,8977413,10530177258.0,156251,7733842,86.15,3,2018,-0.8964059196617247,Slight Negative
211,INFY,EQ,2018-03-19,1171.9,1164.0,1180.5,1142.65,1148.0,1146.75,1156.94,3763310,4353937862.0,114366,2314477,61.5,3,2018,-2.1460875501322696,Negative
212,INFY,EQ,2018-03-20,1146.75,1148.6,1170.0,1148.6,1164.55,1164.55,1159.74,4276883,4960076508.0,111232,3115015,72.83,3,2018,1.5522127752343629,Positive
213,INFY,EQ,2018-03-21,1164.55,1170.0,1175.5,1162.2,1166.2,1167.5,1171.53,3846497,4506270593.0,121529,3113984,80.96,3,2018,0.25331673178481395,Slight or No Change
214,INFY,EQ,2018-03-22,1167.5,1164.5,1177.45,1155.3,1156.0,1161.3,1167.57,3406584,3977430906.0,82774,2545448,74.72,3,2018,-0.5310492505353315,Slight Negative
215,INFY,EQ,2018-03-23,1161.3,1147.0,1173.8,1142.35,1165.0,1167.6,1164.59,6004042,6992254285.0,117145,4213799,70.18,3,2018,0.5424954792043302,Slight Positive
216,INFY,EQ,2018-03-26,1167.6,1166.9,1166.9,1144.0,1155.6,1155.25,1153.17,4465361,5149317139.0,101964,3248748,72.75,3,2018,-1.0577252483727206,Negative
217,INFY,EQ,2018-03-27,1155.25,1160.0,1161.3,1150.1,1152.1,1154.0,1154.45,1901044,2194657346.0,67860,1174247,61.77,3,2018,-0.1082016879463299,Slight or No Change
218,INFY,EQ,2018-03-28,1154.0,1150.75,1150.75,1126.25,1140.0,1131.8,1136.18,6279161,7134252851.0,118878,4775433,76.05,3,2018,-1.9237435008665593,Negative
219,INFY,EQ,2018-04-02,1131.8,1141.0,1149.55,1121.3,1136.7,1137.15,1135.86,4036351,4584716920.0,142078,2960225,73.34,4,2018,0.4726983566001097,Slight or No Change
220,INFY,EQ,2018-04-03,1137.15,1134.7,1143.55,1128.1,1139.4,1140.45,1135.21,2038584,2314226757.0,114034,1366638,67.04,4,2018,0.2901991821659289,Slight or No Change
221,INFY,EQ,2018-04-04,1140.45,1144.0,1144.55,1120.0,1122.7,1124.2,1131.81,2406651,2723878713.0,137029,1472105,61.17,4,2018,-1.4248761453812042,Negative
222,INFY,EQ,2018-04-05,1124.2,1139.55,1151.3,1129.1,1146.05,1147.55,1140.71,3881772,4427993460.0,101745,2899162,74.69,4,2018,2.0770325564845926,Positive
223,INFY,EQ,2018-04-06,1147.55,1143.0,1146.0,1122.1,1127.55,1127.0,1128.81,2968871,3351285043.0,137277,1891236,63.7,4,2018,-1.7907716439370835,Negative
224,INFY,EQ,2018-04-09,1127.0,1125.0,1125.8,1106.55,1111.45,1111.25,1113.12,3601441,4008832077.0,171118,2529586,70.24,4,2018,-1.3975155279503104,Negative
