,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,Volatility,SMA_21,LMA_34,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
64,2017-08-14,INFY,EQ,987.7,988.0,989.2,977.15,982.0,981.45,981.62,1908235,1873162936.0,83142,1423038,74.57,8,2017,-0.6327832337754358,Slight Negative,0.024976601933437894,984.5523809523804,972.5661764705881,HODL,985.1535714285717,14.186904366157314,1013.5273801608863,956.7797626962571
65,2017-08-16,INFY,EQ,981.45,982.0,986.1,969.0,979.35,975.2,975.79,3089040,3014254126.0,73688,2010754,65.09,8,2017,-0.6368128789036587,Slight Negative,0.02569232695866801,984.1309523809518,974.0514705882351,HODL,983.8071428571432,14.172113152553518,1012.1513691622501,955.4629165520362
66,2017-08-17,INFY,EQ,975.2,1005.0,1029.25,998.05,1021.05,1020.85,1012.61,12892130,13054759561.0,219380,8130105,63.06,8,2017,4.681091058244458,Among top gainers,0.049502865468145064,985.8095238095233,976.7176470588233,HODL,987.3642857142861,16.74082330219011,1020.8459323186663,953.8826391099059
67,2017-08-18,INFY,EQ,1020.85,1017.9,1017.9,884.2,923.15,923.25,932.15,82202480,76625024333.0,1192900,42028494,51.13,8,2017,-9.560660234118632,Bear drop,0.11554827462694978,983.1142857142853,976.355882352941,HODL,982.071428571429,23.635116590863852,1029.3416617531568,934.8011953897013
68,2017-08-21,INFY,EQ,923.25,924.0,924.0,870.0,870.15,873.4,888.68,45203588,40171479151.0,844350,20137307,44.55,8,2017,-5.3994042783644725,Among top losers,0.12403876663485731,978.5404761904758,974.0470588235291,HODL,972.2285714285717,36.019976905374826,1044.2685252393214,900.188617617822
69,2017-08-22,INFY,EQ,873.4,895.2,897.05,860.0,876.0,875.4,876.3,24621299,21575553324.0,436450,10004177,40.63,8,2017,0.2289901534233918,Slight or No Change,0.12197379230200954,973.5547619047617,971.4955882352939,HODL,962.9321428571432,42.89721887678321,1048.7265806107096,877.1377051035768
70,2017-08-23,INFY,EQ,875.4,880.0,903.7,873.9,893.4,892.8,890.37,30642095,27282913879.0,431562,15763891,51.45,8,2017,1.987662782727884,Positive,0.12542504114829184,968.8999999999997,969.7867647058821,SELL,955.7500000000002,45.736145443183254,1047.2222908863666,864.2777091136337
71,2017-08-24,INFY,EQ,892.8,910.0,918.25,902.35,911.5,912.15,910.72,21190262,19298432842.0,379260,13139149,62.01,8,2017,2.1673387096774244,Positive,0.13028081082927703,965.0095238095237,968.7617647058822,HODL,950.6178571428574,46.349415427161304,1043.31668799718,857.9190262885347
72,2017-08-28,INFY,EQ,912.15,943.95,953.95,938.0,940.3,941.0,944.82,20356054,19232850863.0,339901,11887057,58.4,8,2017,3.1628569862413025,Among top gainers,0.13667309853089143,962.4833333333332,968.9264705882351,HODL,947.5642857142859,45.39714676128836,1038.3585792368626,856.7699921917092
73,2017-08-29,INFY,EQ,941.0,941.45,942.0,925.55,926.75,927.45,933.49,6684696,6240109664.0,148591,3807364,56.96,8,2017,-1.439957492029753,Negative,0.12321958905320203,960.4071428571428,968.0558823529408,HODL,944.6500000000003,45.27649670464994,1035.2029934093002,854.0970065907004
74,2017-08-30,INFY,EQ,927.45,937.2,939.0,924.1,926.7,926.65,930.56,8074832,7514125822.0,147639,4723273,58.49,8,2017,-0.0862580193002338,Slight or No Change,0.07628731823505405,957.0404761904763,966.6235294117644,HODL,941.9928571428574,45.15444375926711,1032.3017446613917,851.6839696243231
75,2017-08-31,INFY,EQ,926.65,928.8,928.95,912.9,915.0,914.95,916.78,7511226,6886139481.0,174045,4983033,66.34,8,2017,-1.2626126369179258,Negative,0.04726112400407322,952.4571428571429,964.9352941176467,HODL,938.1071428571431,44.959408432423075,1028.0259597219892,848.188325992297
76,2017-09-01,INFY,EQ,914.95,915.95,925.9,910.0,919.85,919.95,919.57,4216961,3877809876.0,81607,2288888,54.28,9,2017,0.5464779496147321,Slight Positive,0.04701386617531765,948.3809523809525,963.2558823529407,HODL,933.7285714285717,43.39221710738618,1020.5130056433441,846.9441372137994
77,2017-09-04,INFY,EQ,919.95,921.0,921.1,893.5,899.95,900.2,904.13,5088554,4600718442.0,141455,2605004,51.19,9,2017,-2.146855807380832,Negative,0.051977694752640656,943.9452380952383,961.1426470588232,HODL,927.4785714285717,41.27009866666281,1010.0187687618974,844.9383740952461
78,2017-09-05,INFY,EQ,900.2,902.0,905.0,897.25,901.0,901.9,901.02,4891696,4407506232.0,79400,3043364,62.21,9,2017,0.18884692290601635,Slight or No Change,0.04641803504533548,940.0357142857147,958.7264705882349,HODL,921.7964285714288,38.66145697583773,999.1193425231043,844.4735146197534
79,2017-09-06,INFY,EQ,901.9,900.0,900.3,890.0,896.9,895.6,894.39,3867955,3459475483.0,126593,2169351,56.09,9,2017,-0.6985253354030329,Slight Negative,0.025737551685155714,935.8380952380955,956.0794117647056,HODL,916.1107142857145,35.962518835435624,988.0357519565857,844.1856766148433
80,2017-09-07,INFY,EQ,895.6,900.0,900.5,892.35,894.65,895.75,896.04,3120596,2796180948.0,74906,2144854,68.73,9,2017,0.016748548459122325,Slight or No Change,0.024961100105874982,932.3857142857146,953.605882352941,HODL,907.1750000000002,19.88296284607808,946.9409256921564,867.409074307844
81,2017-09-08,INFY,EQ,895.75,899.0,899.0,882.1,884.0,884.3,888.07,4302271,3820696332.0,78811,2781198,64.64,9,2017,-1.27825844264583,Negative,0.02554143670421325,928.5976190476193,951.1014705882351,HODL,904.3928571428572,20.183417195073577,944.7596915330043,864.0260227527101
82,2017-09-11,INFY,EQ,884.3,890.4,891.8,873.65,879.95,878.7,880.91,6893821,6072846748.0,145836,4926886,71.47,9,2017,-0.6332692525160999,Slight Negative,0.024571894753940515,924.2809523809528,948.1191176470587,HODL,904.7714285714288,19.598613709666324,943.9686559907615,865.5742011520962
83,2017-09-12,INFY,EQ,878.7,882.55,887.75,878.8,883.25,884.05,881.98,8620677,7603270020.0,94378,7004148,81.25,9,2017,0.6088539888471578,Slight Positive,0.02490878583019433,919.6523809523813,944.9867647058824,HODL,905.3892857142858,18.718000166145995,942.8252860465778,867.9532853819939
84,2017-09-13,INFY,EQ,884.05,885.5,887.6,881.0,884.5,883.75,883.75,5739114,5071927188.0,136009,4337096,75.57,9,2017,-0.03393473219840404,Slight or No Change,0.016915359980009665,914.7023809523813,941.7485294117648,HODL,904.7428571428574,19.332404613289306,943.407666369436,866.0780479162787
